Cadmium mättad 1s, 2 average
Integration time [ms]: 1000,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
321,191;  940,000;  614,500;    0,000
321,210;  263,000;  -83,500;    0,000
321,229;  352,500;   70,500;    0,000
321,247;  418,000;   93,500;    0,000
321,266;  462,000;   74,500;    0,000
321,285;  232,000;   12,000;    0,000
321,304;  413,000;  156,000;    0,000
321,323;  142,500; -188,000;    0,000
321,342;  408,500;   71,500;    0,000
321,361;  500,000;  231,000;    0,000
321,379;  354,500;  125,000;    0,000
321,398;  230,500;  -50,000;    0,000
321,417;  250,000;  -58,500;    0,000
321,436;  192,000;  -77,500;    0,000
321,455;  235,500; -129,000;    0,000
321,474;  266,500;   17,000;    0,000
321,492;  492,500;  179,500;    0,000
321,511; -133,000; -415,500;    0,000
321,530;  -53,500; -263,000;    0,000
321,549;  144,000; -114,500;    0,000
321,568; 1047,000;  675,000;    0,000
321,586; -136,000; -563,500;    0,000
321,605; -310,000; -566,000;    0,000
321,624;  236,000; -160,500;    0,000
321,643;  602,500;  461,500;    0,000
321,662;  535,500;  271,000;    0,000
321,680;  421,500;   17,000;    0,000
321,699;  246,000;  -59,500;    0,000
321,718;  274,500; -118,500;    0,000
321,737;  740,000;  381,500;    0,000
321,756;  314,000;  -10,500;    0,000
321,774;  100,500; -147,000;    0,000
321,793; -128,500; -315,000;    0,000
321,812;  234,500;   42,500;    0,000
321,831;  339,500;   47,500;    0,000
321,850;  728,000;  362,500;    0,000
321,868;  410,500;   11,000;    0,000
321,887;  -10,000; -326,500;    0,000
321,906;  324,000;  -12,000;    0,000
321,925;  354,000;  -10,500;    0,000
321,943;   75,500; -292,000;    0,000
321,962;   63,000; -228,000;    0,000
321,981;  496,500;  118,500;    0,000
322,000;   65,000; -356,500;    0,000
322,018;  628,500;  286,500;    0,000
322,037;  351,500;   77,500;    0,000
322,056;  444,000;  114,000;    0,000
322,075;  326,000;  -55,000;    0,000
322,093;  195,000; -108,500;    0,000
322,112;  561,000;  186,000;    0,000
322,131;  348,500; -123,500;    0,000
322,150;  656,000;  287,500;    0,000
322,168;  474,500;  105,000;    0,000
322,187;  860,500;  603,500;    0,000
322,206;   94,000; -207,500;    0,000
322,225;  544,000;  272,000;    0,000
322,243;  254,500;  -10,500;    0,000
322,262;  411,000;   77,500;    0,000
322,281;  413,500;   14,500;    0,000
322,300;  447,000;  196,000;    0,000
322,318;  316,500;   -2,500;    0,000
322,337;  493,000;   81,500;    0,000
322,356;  225,000; -261,500;    0,000
322,374;  543,500;   74,000;    0,000
322,393;  758,000;  394,000;    0,000
322,412;  949,000;  654,500;    0,000
322,431;  121,000; -201,500;    0,000
322,449;  199,500;  -71,000;    0,000
322,468;  696,500;  332,500;    0,000
322,487;  275,000;   92,500;    0,000
322,505;  367,000;   14,000;    0,000
322,524;  262,500;  -78,000;    0,000
322,543;  692,000;  222,500;    0,000
322,561;  950,500;  642,000;    0,000
322,580;  303,000;   -5,000;    0,000
322,599;  420,500;   68,000;    0,000
322,618;  786,500;  310,000;    0,000
322,636;  681,000;  211,000;    0,000
322,655;  507,500;   -1,000;    0,000
322,674;  333,500; -122,000;    0,000
322,692;  787,000;  381,500;    0,000
322,711;  842,000;  451,500;    0,000
322,730;  271,000; -201,000;    0,000
322,748;  225,000; -132,000;    0,000
322,767;  938,500;  498,500;    0,000
322,786; 1269,500;  916,500;    0,000
322,804;  748,500;  264,500;    0,000
322,823;  225,500; -163,000;    0,000
322,842;  857,000;  395,500;    0,000
322,860; 1112,000;  649,000;    0,000
322,879;  194,000; -312,000;    0,000
322,898;  215,500; -115,000;    0,000
322,916;  922,000;  533,000;    0,000
322,935;  146,500; -279,500;    0,000
322,953;  220,500; -272,000;    0,000
322,972;  456,000;   74,000;    0,000
322,991;  827,000;  459,000;    0,000
323,009;  784,000;  367,500;    0,000
323,028;  231,500; -186,000;    0,000
323,047;  326,500; -116,000;    0,000
323,065;  458,500;   89,000;    0,000
323,084;  597,500;  106,000;    0,000
323,103;  535,500;  -10,500;    0,000
323,121;  515,000;  -58,500;    0,000
323,140;  245,000; -299,000;    0,000
323,158;  866,500;  346,500;    0,000
323,177; 1024,000;  377,000;    0,000
323,196;  547,000;  -71,500;    0,000
323,214;  398,000; -280,500;    0,000
323,233;  585,500; -111,500;    0,000
323,251;  294,000; -415,000;    0,000
323,270;  600,000;  -13,500;    0,000
323,289; 1103,000;  647,000;    0,000
323,307;  521,000;   15,500;    0,000
323,326;  412,500; -280,000;    0,000
323,344;  737,000;   22,500;    0,000
323,363;  904,500;  255,000;    0,000
323,382; 1086,500;  395,000;    0,000
323,400;  297,000; -307,500;    0,000
323,419;  502,000; -186,500;    0,000
323,437;  560,000;  -70,000;    0,000
323,456;  621,000; -167,000;    0,000
323,474;  925,000;   88,500;    0,000
323,493; 3538,500; 2898,000;    0,000
323,512; 1154,500;  307,500;    0,000
323,530;  895,000;  136,500;    0,000
323,549;  290,000; -299,000;    0,000
323,567;  565,500; -117,000;    0,000
323,586;  639,500;  -55,500;    0,000
323,604;  841,500;   85,500;    0,000
323,623;  719,000;  -20,000;    0,000
323,642;  583,000;  -94,500;    0,000
323,660;  301,500; -494,500;    0,000
323,679;  704,500; -179,000;    0,000
323,697;  625,000; -139,500;    0,000
323,716;  293,500; -329,500;    0,000
323,734; 1186,000;  521,500;    0,000
323,753; 1230,500;  402,500;    0,000
323,771;  897,000;  -66,500;    0,000
323,790;  692,500; -127,000;    0,000
323,808;  813,500;  -93,000;    0,000
323,827;  351,000; -442,500;    0,000
323,846;  877,000;   -1,000;    0,000
323,864;  621,500; -267,500;    0,000
323,883; 1328,500;  365,000;    0,000
323,901;  969,000;   66,000;    0,000
323,920; 1080,000;  147,500;    0,000
323,938;  817,500; -177,000;    0,000
323,957;  576,000; -441,000;    0,000
323,975; 1563,500;  652,500;    0,000
323,994;  612,000; -328,000;    0,000
324,012;  972,000; -113,500;    0,000
324,031;  751,000; -189,000;    0,000
324,049;  747,000; -227,000;    0,000
324,068;  939,500; -216,000;    0,000
324,086; 1029,000;   49,000;    0,000
324,105; 1260,500;  312,000;    0,000
324,123; 1118,500;  215,000;    0,000
324,142; 1037,000;   18,500;    0,000
324,160;  665,000; -336,000;    0,000
324,179; 1295,000;  230,000;    0,000
324,197; 1511,000;  407,500;    0,000
324,216; 1044,500; -127,500;    0,000
324,234; 1402,500;  126,000;    0,000
324,253;  863,000; -310,000;    0,000
324,271;  798,500; -347,500;    0,000
324,290; 1156,000;  -79,500;    0,000
324,308; 1161,500; -153,000;    0,000
324,326; 1825,000;  397,000;    0,000
324,345; 1049,500; -264,000;    0,000
324,363; 1225,500; -127,000;    0,000
324,382; 1307,000; -270,000;    0,000
324,400; 1769,000;  197,000;    0,000
324,419; 1472,500;  -63,500;    0,000
324,437; 1429,000;  -27,500;    0,000
324,456; 1326,500; -239,000;    0,000
324,474; 1232,000; -373,500;    0,000
324,493; 1490,500; -368,000;    0,000
324,511; 1987,000;  191,000;    0,000
324,529; 1695,500;   -3,000;    0,000
324,548; 1786,500;  -39,500;    0,000
324,566; 2392,000;  468,000;    0,000
324,585; 2445,000;  353,000;    0,000
324,603; 1731,500; -398,000;    0,000
324,622; 1816,000; -417,500;    0,000
324,640; 1641,000; -682,000;    0,000
324,658; 1531,500; -640,500;    0,000
324,677; 2076,500;   93,000;    0,000
324,695; 2351,000;  360,500;    0,000
324,714; 2049,000;   65,000;    0,000
324,732; 2257,000;  149,500;    0,000
324,751; 1574,000; -486,500;    0,000
324,769; 2899,500;  686,000;    0,000
324,787; 2501,500;   29,000;    0,000
324,806; 2846,000;  161,000;    0,000
324,824; 2999,500;   40,500;    0,000
324,843; 3202,500;   61,500;    0,000
324,861; 3254,000;  260,000;    0,000
324,879; 3047,000;  -17,000;    0,000
324,898; 3127,000; -145,500;    0,000
324,916; 3521,000;   64,000;    0,000
324,935; 3722,000; -118,500;    0,000
324,953; 3351,500; -355,500;    0,000
324,971; 3417,500;  -71,000;    0,000
324,990; 3166,000; -272,000;    0,000
325,008; 3751,500;  125,500;    0,000
325,026; 4380,500;  207,500;    0,000
325,045; 4837,500; -141,000;    0,000
325,063; 5767,500;   60,500;    0,000
325,082; 6165,000; -167,500;    0,000
325,100; 8131,500; -110,500;    0,000
325,118;13506,000; -100,500;    0,000
325,137;24555,000;  235,500;    0,000
325,155;36488,500;   28,000;    0,000
325,173;50463,000;   43,000;    0,000
325,192;60361,000; -126,500;    0,000
325,210;63211,000; -251,500;    0,000
325,228;63146,500;  538,500;    0,000
325,247;63229,500;  -10,500;    0,000
325,265;63146,500;  261,000;    0,000
325,284;63229,500;  326,500;    0,000
325,302;63146,500;  348,000;    0,000
325,320;63229,500;   44,000;    0,000
325,339;63146,500; -156,500;    0,000
325,357;63229,500;  284,000;    0,000
325,375;56482,000;  321,000;    0,000
325,394; 9973,500;   -7,500;    0,000
325,412; 6728,500;   26,000;    0,000
325,430; 5840,500; -103,500;    0,000
325,449; 5990,000;  375,000;    0,000
325,467; 5577,500; -253,000;    0,000
325,485; 5708,000; -205,000;    0,000
325,503; 6135,500;  394,500;    0,000
325,522; 5678,000;   37,000;    0,000
325,540; 5718,500;  166,000;    0,000
325,558; 5745,500;   64,500;    0,000
325,577; 5588,500;   47,500;    0,000
325,595; 5554,500; -282,000;    0,000
325,613; 6900,500;  -42,500;    0,000
325,632; 8578,000;  -85,500;    0,000
325,650; 9504,000;  362,000;    0,000
325,668; 9509,500;  192,500;    0,000
325,686; 9542,000; -129,000;    0,000
325,705; 8594,000; -279,500;    0,000
325,723;10542,500;   11,000;    0,000
325,741;14221,000;  745,000;    0,000
325,760;18921,500; -436,000;    0,000
325,778;28816,000;   45,000;    0,000
325,796;36246,500;  415,000;    0,000
325,814;38065,000;  224,000;    0,000
325,833;35294,000;  -43,500;    0,000
325,851;43761,000;  -61,500;    0,000
325,869;63229,500;  331,000;    0,000
