VäteMätning1
Integration time [ms]: 150,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
317,597;  -54,997;  -19,089;    0,000
317,765;   14,844;   37,408;    0,000
317,933;  -84,002;  -89,287;    0,000
318,100;  -34,587;  -62,262;    0,000
318,268;  -36,073;  -57,387;    0,000
318,436;   -3,021;   -8,042;    0,000
318,604;  -35,647;   -2,395;    0,000
318,771;   25,459;   38,194;    0,000
318,939;   -0,328;   27,930;    0,000
319,107;  147,449;  115,997;    0,000
319,275;  -15,018;  -12,013;    0,000
319,442;  -60,914;  -45,175;    0,000
319,610;   68,355;   52,135;    0,000
319,778;   48,641;   15,600;    0,000
319,945;  -26,143;   -3,836;    0,000
320,113;   63,648;   65,128;    0,000
320,281;   42,616;   38,216;    0,000
320,448;   54,907;   31,910;    0,000
320,616;  -82,145;  -97,656;    0,000
320,784;   56,561;   37,263;    0,000
320,951;   20,160;   12,703;    0,000
321,119;   34,804;   43,281;    0,000
321,287;   29,037;   10,040;    0,000
321,454;  180,134;  199,441;    0,000
321,622;   49,414;   43,817;    0,000
321,790;   -0,212;    1,586;    0,000
321,957;   54,392;   65,824;    0,000
322,125;  -38,149;  -24,364;    0,000
322,292;  -81,889;  -69,412;    0,000
322,460;  -41,654;  -41,193;    0,000
322,628;  -33,319;  -45,373;    0,000
322,795;  107,070;   60,970;    0,000
322,963;  -26,903;  -32,687;    0,000
323,130;   17,818;   22,907;    0,000
323,298;   45,583;   48,426;    0,000
323,466;   -0,562;   -9,169;    0,000
323,633;   19,414;  -15,622;    0,000
323,801;  -59,056;  -71,653;    0,000
323,968;   30,308;   54,349;    0,000
324,136; -109,681; -116,985;    0,000
324,303;  -93,600; -102,948;    0,000
324,471;  -44,322;  -41,502;    0,000
324,638;  -43,986;  -33,683;    0,000
324,806;    9,512;    9,239;    0,000
324,973;  -28,729;  -63,770;    0,000
325,141;   48,205;   37,220;    0,000
325,308;  106,268;   99,631;    0,000
325,476;   19,267;    6,522;    0,000
325,643;  -34,574;  -43,817;    0,000
325,811;   26,071;   60,700;    0,000
325,978;   90,081;   90,327;    0,000
326,146;  -62,293;  -76,190;    0,000
326,313;   41,675;   64,489;    0,000
326,481;   64,727;   30,343;    0,000
326,648;  -27,486;  -13,013;    0,000
326,816;   15,946;    1,228;    0,000
326,983;   34,581;   34,827;    0,000
327,151;   25,770;   15,461;    0,000
327,318;   96,910;   94,088;    0,000
327,486;  -30,611;  -48,615;    0,000
327,653;   14,244;   10,238;    0,000
327,820;  -11,047;  -12,704;    0,000
327,988;    3,948;   23,407;    0,000
328,155;   64,152;   49,705;    0,000
328,323;  -27,290;   -8,973;    0,000
328,490;   70,678;   40,749;    0,000
328,657;   55,841;   32,048;    0,000
328,825;   36,319;    3,476;    0,000
328,992;   94,944;   86,569;    0,000
329,159;    0,594;   -9,816;    0,000
329,327;  -14,652;    2,576;    0,000
329,494;   95,270;  102,721;    0,000
329,662;  -70,486;  -69,853;    0,000
329,829;  -11,019;   -9,312;    0,000
329,996;   24,074;   14,899;    0,000
330,164;   -6,319;  -22,643;    0,000
330,331;    5,203;   13,351;    0,000
330,498;    2,344;  -13,931;    0,000
330,666;  -72,118;  -49,073;    0,000
330,833;   -7,299;   -7,849;    0,000
331,000;   -6,091;   21,109;    0,000
331,167;   32,053;   25,035;    0,000
331,335;  -40,108;  -26,516;    0,000
331,502;   91,763;   95,402;    0,000
331,669;   70,437;   50,910;    0,000
331,837;   26,624;   12,905;    0,000
332,004;   59,231;   73,003;    0,000
332,171;   -7,540;  -37,467;    0,000
332,338;    2,085;   12,056;    0,000
332,506;  113,751;  111,836;    0,000
332,673;  -53,728;  -68,470;    0,000
332,840;  -24,078;  -51,685;    0,000
333,007;  -16,573;   -4,448;    0,000
333,175;   89,007;   68,880;    0,000
333,342;  -38,614;  -38,084;    0,000
333,509;    1,516;  -47,484;    0,000
333,676;   -4,375;    8,944;    0,000
333,843;  -68,500;  -87,879;    0,000
334,011;   30,429;   29,373;    0,000
334,178;    2,603;  -18,380;    0,000
334,345;   -4,195;    2,280;    0,000
334,512;  118,374;  100,190;    0,000
334,679;   14,918;  -15,754;    0,000
334,847;  -24,173;  -42,696;    0,000
335,014;  -75,833;  -46,529;    0,000
335,181;   22,408;   19,579;    0,000
335,348;  -36,906;   -7,647;    0,000
335,515;  -84,060;  -59,891;    0,000
335,682;   93,785;   69,556;    0,000
335,849;  -50,014;  -65,675;    0,000
336,017;  -54,341;  -75,936;    0,000
336,184;  -68,652; -117,763;    0,000
336,351;   -8,540;  -34,367;    0,000
336,518;   29,948;   12,237;    0,000
336,685;   13,757;    8,064;    0,000
336,852;   18,596;   -3,438;    0,000
337,019;  163,893;  165,123;    0,000
337,186;  -35,663;  -19,760;    0,000
337,353;  -53,510;  -64,706;    0,000
337,520;  -18,874;   -0,387;    0,000
337,687;   15,966;    3,032;    0,000
337,854;    8,264;   18,602;    0,000
338,022;  -23,282;  -35,993;    0,000
338,189;  -39,703;  -49,217;    0,000
338,356;   37,494;   41,223;    0,000
338,523;   75,672;   51,620;    0,000
338,690;    9,049;   -8,963;    0,000
338,857;   51,385;    7,796;    0,000
339,024;  -26,992;  -20,081;    0,000
339,191;   66,788;   67,064;    0,000
339,358;  -29,545;  -38,135;    0,000
339,525;   14,331;    0,972;    0,000
339,692;    7,682;  -18,843;    0,000
339,859;   69,704;   52,590;    0,000
340,026;   -8,352;  -35,233;    0,000
340,193;  -53,841; -102,897;    0,000
340,360;   -4,315;    0,796;    0,000
340,527;  167,912;  156,748;    0,000
340,694;    7,911;   -2,912;    0,000
340,861;  -28,249;  -47,403;    0,000
341,027;  -59,512;  -56,736;    0,000
341,194;   84,349;   46,206;    0,000
341,361;   12,688;   18,764;    0,000
341,528;    6,496;  -14,378;    0,000
341,695;  -24,640;  -30,267;    0,000
341,862;   98,645;   76,468;    0,000
342,029;  -22,054;   -2,102;    0,000
342,196;  -39,173;  -61,196;    0,000
342,363;   70,323;   71,314;    0,000
342,530;  -38,328;  -48,270;    0,000
342,697;  160,471;  163,030;    0,000
342,863;   29,038;    4,470;    0,000
343,030;  -24,096;  -27,089;    0,000
343,197;  136,955;  126,935;    0,000
343,364;   63,074;   66,429;    0,000
343,531;    8,368;  -23,239;    0,000
343,698;  119,074;  139,599;    0,000
343,865;  -23,974;  -38,765;    0,000
344,031;  -80,560;  -77,560;    0,000
344,198;   12,496;   -4,678;    0,000
344,365;  -48,934;  -45,538;    0,000
344,532;  -43,421;  -64,542;    0,000
344,699;    4,114;   -7,353;    0,000
344,866;   68,900;   70,391;    0,000
345,032;  -82,010;  -69,476;    0,000
345,199;   90,908;   62,019;    0,000
345,366;   76,193;   32,323;    0,000
345,533;  -53,548;  -55,695;    0,000
345,699;   64,625;   56,553;    0,000
345,866;  -21,299;  -51,309;    0,000
