Cadmium 200ms, 2 average
Integration time [ms]: 200,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
321,134;  178,000;    4,263;    0,000
321,153;   43,000;    0,937;    0,000
321,172;  132,000;    3,163;    0,000
321,191;  172,000;    2,193;    0,000
321,210;   -0,500;   -1,597;    0,000
321,229;  145,500;    0,710;    0,000
321,247;   63,000;   -3,507;    0,000
321,266;  118,000;    0,550;    0,000
321,285;   46,500;   -4,607;    0,000
321,304;  101,000;    3,750;    0,000
321,323;   12,000;   -1,467;    0,000
321,342;   49,000;    0,840;    0,000
321,361;   75,500;    2,420;    0,000
321,379;  195,500;    3,387;    0,000
321,398;  101,000;    1,747;    0,000
321,417;  -31,500;   -2,323;    0,000
321,436;  -37,000;   -1,510;    0,000
321,455;  156,000;    3,437;    0,000
321,474;  112,000;   -0,153;    0,000
321,492;   76,000;    0,470;    0,000
321,511;  -69,000;   -5,360;    0,000
321,530;  -17,500;   -3,447;    0,000
321,549;    6,500;   -1,923;    0,000
321,568;  184,000;    2,417;    0,000
321,586; -119,500;   -2,597;    0,000
321,605; -120,000;   -5,543;    0,000
321,624;   38,000;   -3,197;    0,000
321,643;  131,500;    1,680;    0,000
321,662;  132,500;    1,437;    0,000
321,680;  122,500;    4,487;    0,000
321,699;   66,500;    0,067;    0,000
321,718;   84,000;    2,310;    0,000
321,737;  145,500;    0,087;    0,000
321,756;   72,500;    1,080;    0,000
321,774;    5,000;    0,913;    0,000
321,793;    1,500;   -4,460;    0,000
321,812;   21,500;    2,717;    0,000
321,831;   98,000;   -1,963;    0,000
321,850;   88,000;    3,267;    0,000
321,868;   61,000;   -0,643;    0,000
321,887;  -52,000;   -4,953;    0,000
321,906;   90,000;    1,540;    0,000
321,925;  156,500;    3,600;    0,000
321,943;   42,500;   -1,853;    0,000
321,962;  -28,000;   -5,723;    0,000
321,981;  169,000;    1,203;    0,000
322,000;   -5,500;   -1,587;    0,000
322,018;  121,500;    0,060;    0,000
322,037;   78,500;   -1,903;    0,000
322,056;  118,000;    0,317;    0,000
322,075;   49,000;    0,377;    0,000
322,093;   46,500;    0,143;    0,000
322,112;   49,500;    0,210;    0,000
322,131;   78,500;    0,960;    0,000
322,150;  169,500;    0,877;    0,000
322,168;   51,000;    0,240;    0,000
322,187;  128,500;    1,200;    0,000
322,206;    4,000;   -1,600;    0,000
322,225;   67,500;    0,733;    0,000
322,243;   45,000;    0,750;    0,000
322,262;    3,000;   -0,743;    0,000
322,281;  132,500;    0,827;    0,000
322,300;  168,500;   -0,347;    0,000
322,318;   96,000;    2,153;    0,000
322,337;   80,000;    1,627;    0,000
322,356;   36,500;    1,573;    0,000
322,374;  118,500;    2,067;    0,000
322,393;  126,500;    0,043;    0,000
322,412;  149,500;    1,470;    0,000
322,431;    3,500;   -0,237;    0,000
322,449;  103,000;   -0,317;    0,000
322,468;   63,500;    3,897;    0,000
322,487;   -6,000;   -0,813;    0,000
322,505;   64,000;    3,573;    0,000
322,524;   35,000;   -2,470;    0,000
322,543;   61,500;    2,297;    0,000
322,561;  208,500;    2,750;    0,000
322,580;  103,500;   -3,443;    0,000
322,599;  159,500;    1,257;    0,000
322,618;   63,500;    1,663;    0,000
322,636;  142,000;    2,750;    0,000
322,655;  182,500;    2,163;    0,000
322,674;   19,500;   -2,753;    0,000
322,692;  161,000;    2,267;    0,000
322,711;  199,000;   -1,727;    0,000
322,730;   56,000;    0,117;    0,000
322,748;   70,000;   -3,350;    0,000
322,767;  127,000;    2,167;    0,000
322,786;  176,000;    0,870;    0,000
322,804;  202,500;    0,170;    0,000
322,823;    3,500;   -1,720;    0,000
322,842;  133,000;    1,810;    0,000
322,860;  189,000;   -0,637;    0,000
322,879;   41,000;   -2,480;    0,000
322,898;   67,000;   -0,167;    0,000
322,916;  172,000;    3,030;    0,000
322,935;    0,000;    0,157;    0,000
322,953;   75,500;   -2,410;    0,000
322,972;   66,000;   -0,347;    0,000
322,991;  210,500;    3,347;    0,000
323,009;   87,500;   -3,897;    0,000
323,028;   45,000;    0,527;    0,000
323,047;   33,000;   -1,383;    0,000
323,065;  104,000;   -1,593;    0,000
323,084;   37,500;   -0,107;    0,000
323,103;  162,000;   -1,030;    0,000
323,121;   71,000;    3,633;    0,000
323,140;   58,500;   -1,290;    0,000
323,158;  153,500;    3,853;    0,000
323,177;  235,000;    5,547;    0,000
323,196;  100,500;   -4,070;    0,000
323,214;   24,500;    2,220;    0,000
323,233;   44,000;   -6,870;    0,000
323,251;   20,000;    0,080;    0,000
323,270;  109,000;   -2,117;    0,000
323,289;  161,500;    3,487;    0,000
323,307;  110,500;   -0,053;    0,000
323,326;   64,000;   -4,180;    0,000
323,344;  161,500;    0,147;    0,000
323,363;  154,500;   -3,057;    0,000
323,382;  180,500;    0,860;    0,000
323,400;   74,500;   -2,530;    0,000
323,419;   59,500;    1,003;    0,000
323,437;  104,000;   -1,047;    0,000
323,456;   51,000;   -1,507;    0,000
323,474;  163,500;    4,237;    0,000
323,493;  672,000;   17,770;    0,000
323,512;  170,000;   -1,540;    0,000
323,530;  103,500;    0,657;    0,000
323,549;   12,000;    1,023;    0,000
323,567;   88,000;   -3,340;    0,000
