Cadmium omättad 5,5ms, 300 average
Integration time [ms]:   5,500
Averaging Nr. [scans]: 300
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804349U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
321,115;    2,967;    1,857;    0,000
321,134;    3,900;    4,263;    0,000
321,153;   -0,093;    0,937;    0,000
321,172;   -0,557;    3,163;    0,000
321,191;    2,357;    2,193;    0,000
321,210;    2,360;   -1,597;    0,000
321,229;    2,853;    0,710;    0,000
321,247;    4,213;   -3,507;    0,000
321,266;    4,357;    0,550;    0,000
321,285;   -2,113;   -4,607;    0,000
321,304;    7,373;    3,750;    0,000
321,323;   -0,177;   -1,467;    0,000
321,342;    3,130;    0,840;    0,000
321,361;    3,113;    2,420;    0,000
321,379;    4,577;    3,387;    0,000
321,398;    5,187;    1,747;    0,000
321,417;    3,757;   -2,323;    0,000
321,436;    6,100;   -1,510;    0,000
321,455;   -1,107;    3,437;    0,000
321,474;    5,577;   -0,153;    0,000
321,492;    3,457;    0,470;    0,000
321,511;    1,870;   -5,360;    0,000
321,530;    0,990;   -3,447;    0,000
321,549;    3,173;   -1,923;    0,000
321,568;    4,217;    2,417;    0,000
321,586;    1,360;   -2,597;    0,000
321,605;   -2,773;   -5,543;    0,000
321,624;    2,137;   -3,197;    0,000
321,643;    4,700;    1,680;    0,000
321,662;    4,493;    1,437;    0,000
321,680;    1,833;    4,487;    0,000
321,699;    2,817;    0,067;    0,000
321,718;    0,277;    2,310;    0,000
321,737;    4,317;    0,087;    0,000
321,756;    3,540;    1,080;    0,000
321,774;    5,703;    0,913;    0,000
321,793;    0,037;   -4,460;    0,000
321,812;   -0,073;    2,717;    0,000
321,831;    0,847;   -1,963;    0,000
321,850;    4,853;    3,267;    0,000
321,868;    1,577;   -0,643;    0,000
321,887;    0,963;   -4,953;    0,000
321,906;    3,307;    1,540;    0,000
321,925;    5,693;    3,600;    0,000
321,943;   -0,763;   -1,853;    0,000
321,962;    5,013;   -5,723;    0,000
321,981;    4,630;    1,203;    0,000
322,000;   -0,067;   -1,587;    0,000
322,018;    5,103;    0,060;    0,000
322,037;    3,577;   -1,903;    0,000
322,056;    3,503;    0,317;    0,000
322,075;    2,143;    0,377;    0,000
322,093;    0,627;    0,143;    0,000
322,112;    2,400;    0,210;    0,000
322,131;    0,213;    0,960;    0,000
322,150;    5,147;    0,877;    0,000
322,168;    2,253;    0,240;    0,000
322,187;    4,030;    1,200;    0,000
322,206;   -3,897;   -1,600;    0,000
322,225;    3,963;    0,733;    0,000
322,243;    3,487;    0,750;    0,000
322,262;    4,300;   -0,743;    0,000
322,281;   -0,960;    0,827;    0,000
322,300;    0,980;   -0,347;    0,000
322,318;   -3,703;    2,153;    0,000
322,337;    4,640;    1,627;    0,000
322,356;    0,337;    1,573;    0,000
322,374;    6,690;    2,067;    0,000
322,393;    3,253;    0,043;    0,000
322,412;    7,640;    1,470;    0,000
322,431;   -0,267;   -0,237;    0,000
322,449;    1,310;   -0,317;    0,000
322,468;    4,680;    3,897;    0,000
322,487;    5,377;   -0,813;    0,000
322,505;    1,433;    3,573;    0,000
322,524;    9,887;   -2,470;    0,000
322,543;   -2,107;    2,297;    0,000
322,561;    1,830;    2,750;    0,000
322,580;    3,170;   -3,443;    0,000
322,599;    7,000;    1,257;    0,000
322,618;    3,720;    1,663;    0,000
322,636;    4,753;    2,750;    0,000
322,655;    4,827;    2,163;    0,000
322,674;    3,280;   -2,753;    0,000
322,692;    4,913;    2,267;    0,000
322,711;    4,757;   -1,727;    0,000
322,730;   -1,787;    0,117;    0,000
322,748;   -0,630;   -3,350;    0,000
322,767;    4,153;    2,167;    0,000
322,786;    7,423;    0,870;    0,000
322,804;    2,463;    0,170;    0,000
322,823;   -1,293;   -1,720;    0,000
322,842;    4,767;    1,810;    0,000
322,860;    7,193;   -0,637;    0,000
322,879;   -1,690;   -2,480;    0,000
322,898;    3,080;   -0,167;    0,000
322,916;    6,960;    3,030;    0,000
322,935;   -0,923;    0,157;    0,000
322,953;   -2,820;   -2,410;    0,000
322,972;    5,767;   -0,347;    0,000
322,991;    2,753;    3,347;    0,000
323,009;    5,843;   -3,897;    0,000
323,028;    1,653;    0,527;    0,000
323,047;   -2,953;   -1,383;    0,000
323,065;    0,943;   -1,593;    0,000
323,084;   -0,630;   -0,107;    0,000
323,103;    5,983;   -1,030;    0,000
323,121;    3,560;    3,633;    0,000
323,140;   -0,357;   -1,290;    0,000
323,158;    2,207;    3,853;    0,000
323,177;    8,313;    5,547;    0,000
323,196;    0,367;   -4,070;    0,000
323,214;    1,037;    2,220;    0,000
323,233;    2,177;   -6,870;    0,000
323,251;   -1,720;    0,080;    0,000
323,270;    4,387;   -2,117;    0,000
323,289;    4,593;    3,487;    0,000
323,307;    1,697;   -0,053;    0,000
323,326;    1,617;   -4,180;    0,000
323,344;    6,843;    0,147;    0,000
323,363;    0,923;   -3,057;    0,000
323,382;    7,377;    0,860;    0,000
323,400;    0,100;   -2,530;    0,000
323,419;    6,687;    1,003;    0,000
323,437;   -3,130;   -1,047;    0,000
323,456;    1,910;   -1,507;    0,000
323,474;    5,777;    4,237;    0,000
323,493;   19,427;   17,770;    0,000
323,512;    7,640;   -1,540;    0,000
323,530;    5,240;    0,657;    0,000
323,549;    1,863;    1,023;    0,000
323,567;    3,520;   -3,340;    0,000
323,586;    7,690;    1,287;    0,000
323,604;    3,653;    2,977;    0,000
323,623;    2,473;    2,333;    0,000
323,642;    3,193;    4,647;    0,000
323,660;    2,163;   -5,537;    0,000
323,679;    5,213;    2,080;    0,000
323,697;    5,080;   -3,717;    0,000
323,716;    2,587;   -1,803;    0,000
323,734;    4,320;    4,403;    0,000
323,753;    5,587;   -2,057;    0,000
323,771;    5,423;    4,083;    0,000
323,790;    6,697;    2,697;    0,000
323,808;    4,167;   -3,890;    0,000
323,827;    4,327;   -2,790;    0,000
323,846;    4,037;    3,053;    0,000
323,864;    2,093;   -1,107;    0,000
323,883;    8,860;    2,200;    0,000
323,901;    6,160;    2,253;    0,000
323,920;    5,273;   -2,680;    0,000
323,938;    1,020;    1,230;    0,000
323,957;    4,567;   -1,933;    0,000
323,975;    9,150;    4,963;    0,000
323,994;    2,887;   -0,017;    0,000
324,012;    5,587;    1,357;    0,000
324,031;    5,350;    2,467;    0,000
324,049;    4,460;   -5,337;    0,000
324,068;    2,333;    1,333;    0,000
324,086;    2,950;    0,483;    0,000
324,105;   -0,350;   -2,503;    0,000
324,123;    1,553;    0,530;    0,000
324,142;    3,157;    5,170;    0,000
324,160;    9,003;   -0,643;    0,000
324,179;    5,107;   -0,947;    0,000
324,197;    8,853;    2,390;    0,000
324,216;    4,063;    1,147;    0,000
324,234;    8,513;   -0,897;    0,000
324,253;    0,057;    0,377;    0,000
324,271;    4,170;   -2,760;    0,000
324,290;    4,883;    2,963;    0,000
324,308;    9,620;   -0,697;    0,000
324,326;    7,457;    4,920;    0,000
324,345;    6,050;   -6,333;    0,000
324,363;    7,943;   -0,993;    0,000
324,382;    9,000;   -1,447;    0,000
324,400;    8,130;    0,440;    0,000
324,419;    6,683;    0,007;    0,000
324,437;    1,077;   -2,283;    0,000
324,456;    9,397;    1,837;    0,000
324,474;    2,803;   -2,357;    0,000
324,493;    8,603;   -1,447;    0,000
324,511;   13,140;    3,427;    0,000
324,529;    4,423;   -1,740;    0,000
324,548;    9,290;    0,853;    0,000
324,566;    8,617;    2,763;    0,000
324,585;   13,157;    4,577;    0,000
324,603;   11,520;   -2,550;    0,000
324,622;    5,757;   -1,390;    0,000
324,640;    7,470;   -2,667;    0,000
324,658;    8,033;   -3,140;    0,000
324,677;   12,983;    1,403;    0,000
324,695;   10,587;    0,927;    0,000
324,714;   11,607;    1,270;    0,000
324,732;    9,977;    0,180;    0,000
324,751;    8,477;   -2,173;    0,000
324,769;   15,753;   -0,070;    0,000
324,787;   14,333;   -1,043;    0,000
324,806;   13,243;    0,627;    0,000
324,824;   16,897;   -0,710;    0,000
324,843;   15,160;    0,070;    0,000
324,861;   19,557;    3,120;    0,000
324,879;   13,017;   -0,063;    0,000
324,898;   15,930;   -3,820;    0,000
324,916;   15,800;    0,323;    0,000
324,935;   22,390;    0,087;    0,000
324,953;   15,210;    2,767;    0,000
324,971;   17,433;   -1,587;    0,000
324,990;   14,663;   -0,937;    0,000
325,008;   19,240;   -0,653;    0,000
325,026;   24,763;    1,307;    0,000
325,045;   26,143;    1,660;    0,000
325,063;   28,030;    1,983;    0,000
325,082;   33,117;    1,370;    0,000
325,100;   44,120;   -2,153;    0,000
325,118;   77,810;   -0,987;    0,000
325,137;  129,610;   -2,623;    0,000
325,155;  202,173;    1,130;    0,000
325,173;  285,657;    6,047;    0,000
325,192;  356,173;   -1,507;    0,000
325,210;  382,670;    0,740;    0,000
325,228;  454,893;    6,363;    0,000
325,247;  644,923;   -1,133;    0,000
325,265;  926,443;   -0,570;    0,000
325,284; 1019,763;    2,613;    0,000
325,302;  882,387;    3,413;    0,000
325,320;  527,913;    0,997;    0,000
325,339;  183,870;   -1,673;    0,000
325,357;   65,757;   -2,393;    0,000
325,375;   43,657;   -2,373;    0,000
325,394;   40,017;   -0,317;    0,000
325,412;   33,827;   -1,957;    0,000
325,430;   24,207;    0,613;    0,000
325,449;   27,970;   -2,107;    0,000
325,467;   28,033;   -1,970;    0,000
325,485;   25,723;   -3,873;    0,000
325,503;   29,487;    0,600;    0,000
325,522;   27,370;   -1,893;    0,000
325,540;   35,590;    7,847;    0,000
325,558;   26,597;   -0,660;    0,000
325,577;   26,517;   -0,607;    0,000
325,595;   29,533;   -1,113;    0,000
325,613;   35,307;   -1,430;    0,000
325,632;   46,907;    3,913;    0,000
325,650;   47,027;    4,607;    0,000
325,668;   49,257;   -6,667;    0,000
325,686;   47,900;   -0,223;    0,000
325,705;   43,480;   -0,863;    0,000
325,723;   48,807;    3,693;    0,000
325,741;   68,883;    0,857;    0,000
325,760;   89,027;   -2,907;    0,000
325,778;  144,427;    0,820;    0,000
325,796;  175,990;    0,223;    0,000
325,814;  194,213;    0,440;    0,000
325,833;  174,440;    2,273;    0,000
325,851;  226,637;    2,213;    0,000
325,869;  370,097;    1,753;    0,000
325,888;  672,693;    5,190;    0,000
325,906; 1001,753;   -2,080;    0,000
325,924; 1294,840;   -3,120;    0,000
